,NAME,DATE,PRCP,TAVG,TMAX,TMIN
124,Kurunegala Proper,2019-06-04,0.62,80.0,89.0,68.77463
125,Kurunegala Proper,2019-06-05,1.53,86.0,92.0,77.0
126,Kurunegala Proper,2019-06-06,0.0,84.0,91.0,78.0
127,Kurunegala Proper,2019-06-07,0.04,84.0,90.0,77.0
128,Kurunegala Proper,2019-06-08,0.13,88.0,92.0,76.0
129,Kurunegala Proper,2019-06-09,0.0,83.0,82.25931,68.77463
130,Kurunegala Proper,2019-06-10,2.16,79.0,82.25931,73.0
131,Kurunegala Proper,2019-06-11,0.03,83.0,89.0,74.0
132,Kurunegala Proper,2019-06-12,0.39,82.0,86.0,74.0
133,Kurunegala Proper,2019-06-15,0.11,88.0,92.0,76.0
134,Kurunegala Proper,2019-06-16,0.0,83.0,93.0,79.0
135,Kurunegala Proper,2019-06-17,0.0,85.0,90.0,79.0
136,Kurunegala Proper,2019-06-23,0.0,85.0,92.0,77.0
137,Kurunegala Proper,2019-06-24,0.0,86.0,91.0,79.0
138,Kurunegala Proper,2019-06-27,0.0,85.0,93.0,77.0
139,Kurunegala Proper,2019-06-30,0.0,84.0,82.25931,78.0
140,Kurunegala Proper,2019-07-01,0.0,85.0,92.0,78.0
141,Kurunegala Proper,2019-07-02,0.0,84.0,91.0,68.77463
142,Kurunegala Proper,2019-07-03,0.07,86.0,92.0,78.0
143,Kurunegala Proper,2019-07-04,0.0,86.0,82.25931,77.0
144,Kurunegala Proper,2019-07-06,0.0,88.0,91.0,77.0
145,Kurunegala Proper,2019-07-07,0.0,87.0,94.0,77.0
146,Kurunegala Proper,2019-07-08,0.0,88.0,94.0,76.0
147,Kurunegala Proper,2019-07-09,0.0,82.0,92.0,68.77463
148,Kurunegala Proper,2019-07-11,1.02,83.0,92.0,68.77463
149,Kurunegala Proper,2019-07-14,0.0,84.0,82.25931,74.0
150,Kurunegala Proper,2019-07-15,0.08,82.0,88.0,75.0
151,Kurunegala Proper,2019-07-16,0.2,85.0,91.0,76.0
152,Kurunegala Proper,2019-07-17,0.0,82.0,88.0,78.0
153,Kurunegala Proper,2019-07-18,0.2,80.0,85.0,76.0
154,Kurunegala Proper,2019-07-19,0.23,83.0,86.0,74.0
155,Kurunegala Proper,2019-07-21,0.01,83.0,89.0,78.0
156,Kurunegala Proper,2019-07-22,0.01,83.0,88.0,77.0
157,Kurunegala Proper,2019-07-23,0.0,83.0,82.25931,77.0
158,Kurunegala Proper,2019-07-24,0.0,85.0,82.25931,77.0
159,Kurunegala Proper,2019-07-25,0.13,82.0,88.0,76.0
160,Kurunegala Proper,2019-07-27,0.03,85.0,89.0,74.0
161,Kurunegala Proper,2019-07-28,0.0,84.0,89.0,76.0
162,Kurunegala Proper,2019-07-29,0.0,83.0,90.0,75.0
163,Kurunegala Proper,2019-07-30,0.0,85.0,92.0,76.0
164,Kurunegala Proper,2019-07-31,0.0,85.0,82.25931,77.0
165,Kurunegala Proper,2019-08-01,0.0,85.0,91.0,77.0
166,Kurunegala Proper,2019-08-02,0.0,87.0,91.0,78.0
167,Kurunegala Proper,2019-08-05,0.0,84.0,82.25931,78.0
168,Kurunegala Proper,2019-08-06,0.19,86.0,91.0,77.0
169,Kurunegala Proper,2019-08-07,0.0,83.0,82.25931,78.0
170,Kurunegala Proper,2019-08-08,0.98,81.0,87.0,73.0
171,Kurunegala Proper,2019-08-09,0.12,82.0,87.0,75.0
172,Kurunegala Proper,2019-08-10,0.55,80.0,82.0,76.0
173,Kurunegala Proper,2019-08-11,0.0,83.0,82.25931,76.0
174,Kurunegala Proper,2019-08-12,0.0,83.0,87.0,78.0
175,Kurunegala Proper,2019-08-13,0.0,80.0,84.0,77.0
176,Kurunegala Proper,2019-08-14,0.33,82.0,87.0,75.0
177,Kurunegala Proper,2019-08-15,0.0,83.0,82.25931,77.0
178,Kurunegala Proper,2019-08-16,0.0,86.0,90.0,78.0
179,Kurunegala Proper,2019-08-18,0.0,82.0,82.25931,75.0
180,Kurunegala Proper,2019-08-19,0.0,82.0,82.25931,76.0
181,Kurunegala Proper,2019-08-20,0.02,83.0,90.0,76.0
182,Kurunegala Proper,2019-08-21,0.17,82.0,82.25931,76.0
183,Kurunegala Proper,2019-08-22,0.42,78.0,82.25931,75.0
184,Kurunegala Proper,2019-08-23,0.67,81.0,84.0,72.0
185,Kurunegala Proper,2019-08-24,0.28,85.0,89.0,74.0
186,Kurunegala Proper,2019-08-25,0.02,83.0,89.0,74.0
187,Kurunegala Proper,2019-08-26,0.18,80.0,84.0,73.0
188,Kurunegala Proper,2019-08-27,0.57,81.0,87.0,73.0
189,Kurunegala Proper,2019-08-28,0.08,83.0,89.0,75.0
190,Kurunegala Proper,2019-08-29,0.0,84.0,89.0,76.0
191,Kurunegala Proper,2019-09-01,0.28,81.0,89.0,76.0
192,Kurunegala Proper,2019-09-02,0.14,83.0,90.0,75.0
193,Kurunegala Proper,2019-09-03,0.02,84.0,90.0,76.0
194,Kurunegala Proper,2019-09-04,0.0,83.0,82.25931,76.0
195,Kurunegala Proper,2019-09-05,0.23,80.0,88.0,77.0
196,Kurunegala Proper,2019-09-06,0.98,83.0,87.0,76.0
197,Kurunegala Proper,2019-09-07,0.06,87.0,91.0,76.0
198,Kurunegala Proper,2019-09-08,0.0,84.0,92.0,68.77463
199,Kurunegala Proper,2019-09-09,0.0,85.0,91.0,78.0
200,Kurunegala Proper,2019-09-10,0.0,85.0,91.0,78.0
201,Kurunegala Proper,2019-09-11,0.0,81.0,88.0,68.77463
202,Kurunegala Proper,2019-09-12,0.48,79.0,85.0,73.0
203,Kurunegala Proper,2019-09-13,0.0,86.0,91.0,74.0
204,Kurunegala Proper,2019-09-14,0.0,84.0,91.0,74.0
205,Kurunegala Proper,2019-09-15,0.39,79.0,82.25931,75.0
206,Kurunegala Proper,2019-09-16,0.95,78.0,85.0,74.0
207,Kurunegala Proper,2019-09-17,0.47,83.0,82.25931,76.0
208,Kurunegala Proper,2019-09-18,0.39,82.0,89.0,75.0
209,Kurunegala Proper,2019-09-19,0.13,81.0,82.25931,75.0
210,Kurunegala Proper,2019-09-20,0.11,84.0,88.0,75.0
211,Kurunegala Proper,2019-09-22,0.0,81.0,91.0,74.0
212,Kurunegala Proper,2019-09-23,0.05,79.0,88.0,68.77463
213,Kurunegala Proper,2019-09-24,0.98,78.0,85.0,73.0
214,Kurunegala Proper,2019-09-26,0.24640706,82.0,82.25931,71.0
215,Kurunegala Proper,2019-09-28,0.0,84.0,90.0,73.0
216,Kurunegala Proper,2019-09-29,0.02,81.0,89.0,73.0
217,Kurunegala Proper,2019-09-30,0.0,81.0,91.0,74.0
218,Kurunegala Proper,2019-10-01,0.05,79.0,91.0,72.0
219,Kurunegala Proper,2019-10-03,0.0,80.0,92.0,74.0
220,Kurunegala Proper,2019-10-06,2.97,79.0,87.0,72.0
221,Kurunegala Proper,2019-10-07,0.52,80.0,82.25931,71.0
222,Kurunegala Proper,2019-10-08,0.28,81.0,82.25931,73.0
223,Kurunegala Proper,2019-10-09,0.5,81.0,91.0,72.0
224,Kurunegala Proper,2019-10-10,0.38,81.0,91.0,73.0
225,Kurunegala Proper,2019-10-12,0.04,84.0,91.0,71.0
226,Kurunegala Proper,2019-10-13,0.08,80.0,90.0,73.0
227,Kurunegala Proper,2019-10-14,3.13,84.0,93.0,72.0
228,Kurunegala Proper,2019-10-15,0.0,81.0,82.25931,74.0
229,Kurunegala Proper,2019-10-16,1.48,78.0,86.0,73.0
230,Kurunegala Proper,2019-10-17,0.45,80.0,91.0,72.0
231,Kurunegala Proper,2019-10-18,0.24,84.0,90.0,73.0
232,Kurunegala Proper,2019-10-19,0.01,81.0,89.0,72.0
233,Kurunegala Proper,2019-10-20,1.43,80.0,88.0,73.0
234,Kurunegala Proper,2019-10-21,1.1,78.0,82.25931,73.0
235,Kurunegala Proper,2019-10-22,1.67,79.0,85.0,73.0
236,Kurunegala Proper,2019-10-23,0.11,80.0,88.0,73.0
237,Kurunegala Proper,2019-10-24,0.83,76.0,81.0,74.0
238,Kurunegala Proper,2019-10-25,0.69,84.0,89.0,72.0
239,Kurunegala Proper,2019-10-26,0.04,81.0,86.0,73.0
240,Kurunegala Proper,2019-10-27,0.03,78.0,81.0,72.0
241,Kurunegala Proper,2019-10-28,0.95,77.0,81.0,72.0
242,Kurunegala Proper,2019-10-29,0.38,80.0,86.0,73.0
243,Kurunegala Proper,2019-10-30,0.0,80.0,85.0,74.0
244,Kurunegala Proper,2019-10-31,0.03,81.0,87.0,74.0
245,Kurunegala Proper,2019-11-01,0.01,87.0,92.0,71.0
246,Kurunegala Proper,2019-11-02,0.0,85.0,91.0,75.0
247,Kurunegala Proper,2019-11-03,0.01,80.0,88.0,73.0
248,Kurunegala Proper,2019-11-04,0.03,81.0,91.0,72.0
249,Kurunegala Proper,2019-11-05,0.01,83.0,90.0,72.0
250,Kurunegala Proper,2019-11-06,0.0,83.0,91.0,75.0
251,Kurunegala Proper,2019-11-07,0.0,85.0,92.0,74.0
252,Kurunegala Proper,2019-11-08,0.0,87.0,91.0,76.0
253,Kurunegala Proper,2019-11-09,0.0,85.0,90.0,74.0
254,Kurunegala Proper,2019-11-10,0.0,82.0,91.0,73.0
255,Kurunegala Proper,2019-11-11,0.24,83.0,91.0,74.0
256,Kurunegala Proper,2019-11-12,1.31,83.0,91.0,73.0
257,Kurunegala Proper,2019-11-13,0.0,83.0,92.0,73.0
258,Kurunegala Proper,2019-11-14,0.0,83.0,91.0,72.0
259,Kurunegala Proper,2019-11-15,0.0,86.0,92.0,75.0
260,Kurunegala Proper,2019-11-16,1.07,81.0,89.0,74.0
261,Kurunegala Proper,2019-11-17,1.73,83.0,91.0,70.0
262,Kurunegala Proper,2019-11-18,0.0,83.0,92.0,72.0
263,Kurunegala Proper,2019-11-19,0.0,82.0,90.0,73.0
264,Kurunegala Proper,2019-11-20,0.22,83.0,91.0,74.0
265,Kurunegala Proper,2019-11-21,0.0,84.0,92.0,70.0
266,Kurunegala Proper,2019-11-22,0.0,84.0,88.0,75.0
267,Kurunegala Proper,2019-11-23,0.0,85.0,92.0,73.0
268,Kurunegala Proper,2019-11-24,0.0,81.0,85.0,76.0
269,Kurunegala Proper,2019-11-25,0.0,81.0,88.0,75.0
270,Kurunegala Proper,2019-11-26,0.32,82.0,91.0,73.0
271,Kurunegala Proper,2019-11-27,0.04,83.0,91.0,71.0
272,Kurunegala Proper,2019-11-28,0.0,81.0,82.25931,76.0
273,Kurunegala Proper,2019-11-29,0.06,85.0,90.0,74.0
274,Kurunegala Proper,2019-11-30,0.21,80.0,88.0,75.0
275,Kurunegala Proper,2019-12-01,7.43,81.0,88.0,73.0
276,Kurunegala Proper,2019-12-02,0.19,80.0,86.0,73.0
277,Kurunegala Proper,2019-12-03,0.4,80.0,88.0,74.0
278,Kurunegala Proper,2019-12-04,0.19,78.0,81.0,75.0
279,Kurunegala Proper,2019-12-05,0.85,78.0,86.0,73.0
280,Kurunegala Proper,2019-12-09,0.0,78.0,82.25931,72.0
281,Kurunegala Proper,2019-12-10,0.0,82.0,85.0,72.0
282,Kurunegala Proper,2019-12-11,0.12,78.0,82.0,73.0
283,Kurunegala Proper,2019-12-14,0.0,86.0,91.0,72.0
284,Kurunegala Proper,2019-12-15,0.0,82.0,91.0,72.0
285,Kurunegala Proper,2019-12-16,0.0,81.0,90.0,70.0
286,Kurunegala Proper,2019-12-17,0.0,79.0,84.0,72.0
287,Kurunegala Proper,2019-12-18,0.35,79.0,83.0,74.0
288,Kurunegala Proper,2019-12-19,0.33,79.0,84.0,74.0
289,Kurunegala Proper,2019-12-20,1.86,72.0,78.0,68.77463
290,Kurunegala Proper,2019-12-21,0.91,84.0,91.0,72.0
291,Kurunegala Proper,2019-12-22,0.0,79.0,84.0,73.0
292,Kurunegala Proper,2019-12-23,0.0,82.0,89.0,74.0
293,Kurunegala Proper,2019-12-24,0.0,83.0,92.0,73.0
294,Kurunegala Proper,2019-12-25,0.0,81.0,90.0,72.0
