,HCHO_reading,Location,Current_Date
225,7.796198665621607e-05,Colombo Proper,2019-09-09
226,0.00017064590928829999,Colombo Proper,2019-09-10
227,0.00017064590928829999,Colombo Proper,2019-09-11
228,0.00017064590928829999,Colombo Proper,2019-09-12
229,0.00017064590928829999,Colombo Proper,2019-09-13
230,-2.7079145498339e-05,Colombo Proper,2019-09-14
231,7.293194215549228e-05,Colombo Proper,2019-09-17
232,0.00012243240552171499,Colombo Proper,2019-09-18
233,0.00012243240552171499,Colombo Proper,2019-09-19
234,4.4304662755935576e-05,Colombo Proper,2019-09-20
235,6.719672168285214e-05,Colombo Proper,2019-09-21
236,6.719672168285214e-05,Colombo Proper,2019-09-22
237,6.719672168285214e-05,Colombo Proper,2019-09-23
238,6.719672168285214e-05,Colombo Proper,2019-09-24
239,6.719672168285214e-05,Colombo Proper,2019-09-25
240,0.00012225163065898164,Colombo Proper,2019-09-27
241,0.0002095719037861284,Colombo Proper,2019-09-28
242,0.00015789322142168872,Colombo Proper,2019-09-29
243,0.00010800545806526604,Colombo Proper,2019-09-30
244,0.0001737579768947595,Colombo Proper,2019-10-01
245,8.218956230442276e-05,Colombo Proper,2019-10-02
246,0.0003043901944550457,Colombo Proper,2019-10-03
247,4.704659868522847e-05,Colombo Proper,2019-10-04
248,0.000175775737113565,Colombo Proper,2019-10-05
249,0.000175775737113565,Colombo Proper,2019-10-06
250,3.090292903243917e-05,Colombo Proper,2019-10-07
251,0.00014166481824307681,Colombo Proper,2019-10-08
252,0.00017219477908975972,Colombo Proper,2019-10-09
253,0.0001929062722760271,Colombo Proper,2019-10-10
254,0.0001929062722760271,Colombo Proper,2019-10-11
255,0.0001929062722760271,Colombo Proper,2019-10-12
256,0.00014986127269068453,Colombo Proper,2019-10-13
257,8.925810029372805e-05,Colombo Proper,2019-10-14
258,0.00018203204122008157,Colombo Proper,2019-10-15
259,0.00017682493990848228,Colombo Proper,2019-10-16
260,4.544709803342311e-05,Colombo Proper,2019-10-17
261,0.00010298422857387164,Colombo Proper,2019-10-18
262,0.00016622207249608042,Colombo Proper,2019-10-19
263,6.604724330827594e-05,Colombo Proper,2019-10-20
264,6.604724330827594e-05,Colombo Proper,2019-10-21
265,6.604724330827594e-05,Colombo Proper,2019-10-22
266,0.00014718543563284252,Colombo Proper,2019-10-23
267,0.00014718543563284252,Colombo Proper,2019-10-24
268,0.00014718543563284252,Colombo Proper,2019-10-25
269,0.00014718543563284252,Colombo Proper,2019-10-26
270,0.00014718543563284252,Colombo Proper,2019-10-27
271,0.00014718543563284252,Colombo Proper,2019-10-28
272,0.00021058682615315478,Colombo Proper,2019-10-29
273,0.00021058682615315478,Colombo Proper,2019-10-30
